# Time-averaged data for fix frdfij
# TimeStep Number-of-rows
# Row c_Rdfij[1] c_Rdfij[2] c_Rdfij[3] c_Rdfij[4] c_Rdfij[5] c_Rdfij[6] c_Rdfij[7]
0 200
176 4.3875 0 11.5202 0 6.37989 0 6.47975
177 4.4125 0 11.5202 0 6.37989 0 6.47975
178 4.4375 45.8884 26.9034 45.838 14.9274 45.9517 15.0966
179 4.4625 0 26.9034 0 14.9274 0 15.0966
180 4.4875 0 26.9034 0 14.9274 0 15.0966
181 4.5125 0 26.9034 0 14.9274 0 15.0966
182 4.5375 0 26.9034 0 14.9274 0 15.0966
183 4.5625 0 26.9034 0 14.9274 0 15.0966
184 4.5875 0 26.9034 0 14.9274 0 15.0966
185 4.6125 0 26.9034 0 14.9274 0 15.0966
186 4.6375 0 26.9034 0 14.9274 0 15.0966
187 4.6625 0 26.9034 0 14.9274 0 15.0966
188 4.6875 0 26.9034 0 14.9274 0 15.0966
189 4.7125 0 26.9034 0 14.9274 0 15.0966
190 4.7375 0 26.9034 0 14.9274 0 15.0966
191 4.7625 0 26.9034 0 14.9274 0 15.0966
192 4.7875 0 26.9034 0 14.9274 0 15.0966
193 4.8125 0 26.9034 0 14.9274 0 15.0966
194 4.8375 0 26.9034 0 14.9274 0 15.0966
195 4.8625 0 26.9034 0 14.9274 0 15.0966
196 4.8875 0 26.9034 0 14.9274 0 15.0966
197 4.9125 0 26.9034 0 14.9274 0 15.0966
198 4.9375 0 26.9034 0 14.9274 0 15.0966
199 4.9625 0 26.9034 0 14.9274 0 15.0966
200 4.9875 0 26.9034 0 14.9274 0 15.0966
265000 200
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0 0 0 0 0 0
44 1.0875 0 0 0 0 0 0
45 1.1125 0 0 0 0 0 0
46 1.1375 0 0 0 0 0 0
47 1.1625 0 0 0 0 0 0
48 1.1875 0 0 0 0 0 0
49 1.2125 0 0 0 0 0 0
50 1.2375 0 0 0 0 0 0
51 1.2625 0 0 0 0 0 0
52 1.2875 0 0 0 0 0 0
53 1.3125 0 0 0 0 0 0
54 1.3375 0 0 0 0 0 0
55 1.3625 0 0 0 0 0 0
56 1.3875 0 0 0 0 0 0
57 1.4125 0 0 0 0 0 0
58 1.4375 0 0 0 0 0 0
59 1.4625 0 0 0 0 0 0
60 1.4875 0 0 0 0 0 0
61 1.5125 0 0 0 0 0 0
62 1.5375 0 0 0 0 0 0
63 1.5625 0 0 0 0 0 0
64 1.5875 0 0 0 0 0 0
65 1.6125 0 0 0 0 0 0
66 1.6375 0 0 0 0 0 0
67 1.6625 0 0 0 0 0 0
68 1.6875 0 0 0 0 0 0
69 1.7125 0 0 0 0 0 0
70 1.7375 0 0 0 0 0 0
71 1.7625 0 0 0 0 0 0
72 1.7875 0 0 0 0 0 0
73 1.8125 0 0 0 0 0 0
74 1.8375 0 0 0 0 0 0
75 1.8625 0 0 0 0 0 0
76 1.8875 0 0 0 0 0 0
77 1.9125 0 0 0 0 0 0
78 1.9375 0 0 0 0 0 0
79 1.9625 0 0 0 0 0 0
80 1.9875 0 0 0 0 0 0
81 2.0125 0 0 0 0 0 0
82 2.0375 0 0 0 0 0 0
83 2.0625 0 0 0 0 0 0
84 2.0875 0 0 0 0 0 0
85 2.1125 0 0 0 0 0 0
86 2.1375 0 0 0 0 0 0
87 2.1625 0 0 0 0 0 0
88 2.1875 0 0 0 0 0 0
89 2.2125 0 0 0 0 0 0
90 2.2375 0 0 0 0 0 0
91 2.2625 0.19184 0.0124611 0 0 0 0
92 2.2875 0.469174 0.0436137 0 0 0 0
93 2.3125 1.00999 0.11215 0 0 0 0
94 2.3375 0.718907 0.161994 0 0 0 0
95 2.3625 1.05566 0.23676 0 0 0 0
96 2.3875 1.46436 0.342679 0 0 0 0
97 2.4125 2.10907 0.498442 0 0 0 0
98 2.4375 2.3966 0.679128 0 0 0 0
99 2.4625 3.40082 0.94081 0 0 0.072377 0.00311526
100 2.4875 3.88827 1.24611 0 0 0.0709295 0.00623053
101 2.5125 4.74465 1.62617 0 0 0.208575 0.0155763
102 2.5375 4.49911 1.99377 0 0 0.340809 0.0311526
103 2.5625 4.78563 2.39252 0 0 0.668384 0.0623053
104 2.5875 3.88689 2.72274 0 0 2.03214 0.158879
105 2.6125 4.53226 3.11526 0 0 2.63648 0.286604
106 2.6375 5.22316 3.57632 0 0 3.40692 0.454829
107 2.6625 3.94805 3.93146 0 0 4.95296 0.70405
108 2.6875 2.78724 4.18692 0 0 4.19282 0.919003
109 2.7125 3.3367 4.49844 0 0 4.41414 1.14953
110 2.7375 2.35875 4.72274 0 0 4.86098 1.4081
111 2.7625 2.44493 4.9595 0.207427 0.0111732 4.42833 1.64798
112 2.7875 1.95893 5.15265 0 0.0111732 4.68816 1.90654
113 2.8125 1.11731 5.2648 0 0.0111732 4.88261 2.18069
114 2.8375 0.975743 5.36449 0 0.0111732 4.46988 2.43614
115 2.8625 0.838927 5.45171 0 0.0111732 5.4634 2.75389
116 2.8875 0.353341 5.4891 0.189856 0.0223464 4.57962 3.02492
117 2.9125 0.347302 5.52648 0.373222 0.0446927 4.7083 3.30841
118 2.9375 0.341415 5.56386 0.550345 0.0782123 3.91642 3.54829
119 2.9625 0.44757 5.61371 1.26256 0.156425 3.15049 3.74455
120 2.9875 0.275069 5.64486 0.354718 0.178771 3.09798 3.94081
121 3.0125 0.162314 5.66355 2.26756 0.324022 2.36972 4.09346
122 3.0375 0.159653 5.68224 2.91666 0.513966 2.66385 4.26791
123 3.0625 0.314114 5.71963 2.53168 0.681564 2.19938 4.41433
124 3.0875 0.463571 5.7757 2.6569 0.860335 1.9337 4.54517
125 3.1125 0.0506838 5.78193 3.59479 1.10615 1.22321 4.62928
126 3.1375 0.0997586 5.79439 4.98499 1.45251 1.42671 4.72897
127 3.1625 0.245469 5.82555 3.16547 1.67598 1.09707 4.80685
128 3.1875 0.241634 5.8567 2.64861 1.86592 0.993533 4.8785
129 3.2125 0.285465 5.89408 2.91432 2.07821 0.978129 4.95016
130 3.2375 0.0936911 5.90654 3.77564 2.35754 0.54435 4.99065
131 3.2625 0.138391 5.92523 2.52824 2.54749 0.618508 5.03738
132 3.2875 0.181726 5.95016 3.5152 2.81564 0.487309 5.07477
133 3.3125 0.223741 5.98131 3.31807 3.07263 0.439983 5.10903
134 3.3375 0.220402 6.01246 2.13166 3.24022 0.591022 5.15576
135 3.3625 0.303992 6.05607 3.36013 3.50838 0.271724 5.17757
136 3.3875 0.128366 6.07477 3.31072 3.77654 0.49721 5.21807
137 3.4125 0.252985 6.11215 2.58273 3.98883 0.301509 5.24299
138 3.4375 0.041553 6.11838 2.00944 4.15642 0.557136 5.28972
139 3.4625 0.204776 6.14953 1.45239 4.27933 0.439296 5.3271
140 3.4875 0.0403701 6.15576 1.30149 4.39106 0.36085 5.35826
141 3.5125 0.238785 6.19315 1.15473 4.49162 0.249012 5.38006
142 3.5375 0 6.19315 0.885473 4.56983 0.350721 5.41121
143 3.5625 0.270817 6.23676 0.748362 4.63687 0.518724 5.45794
144 3.5875 0.152603 6.26168 0.491979 4.68156 0.272811 5.48287
