# Time-averaged data for fix frdfij
# TimeStep Number-of-rows
# Row c_Rdfij[1] c_Rdfij[2] c_Rdfij[3] c_Rdfij[4] c_Rdfij[5] c_Rdfij[6] c_Rdfij[7]
50000 200
189 4.7125 1.19602 10.4557 0.827735 9.99372 0.912304 10.7449
190 4.7375 1.16936 10.6753 0.91471 10.1624 0.944891 10.9191
191 4.7625 1.16021 10.8955 0.848962 10.3206 1.00825 11.107
192 4.7875 1.18333 11.1224 0.843295 10.4794 0.990735 11.2936
193 4.8125 1.18319 11.3517 0.911568 10.6528 1.02907 11.4894
194 4.8375 1.22647 11.5919 0.88195 10.8224 1.08412 11.6979
195 4.8625 1.20647 11.8306 0.845193 10.9865 1.02841 11.8977
196 4.8875 1.26026 12.0825 1.00419 11.1836 1.08224 12.1101
197 4.9125 1.25182 12.3353 0.923101 11.3666 1.0757 12.3234
198 4.9375 1.32553 12.6057 0.948118 11.5565 1.10734 12.5452
199 4.9625 1.2253 12.8582 1.03023 11.765 1.08605 12.765
200 4.9875 1.15663 13.0989 1.00383 11.9701 1.10536 12.9909
